[namomuruso:   05.10.2021, 14:00:49] --> Character leveled up to level 2
[namomuruso:   05.10.2021, 14:00:51] --> Character leveled up to level 3
[namomuruso:   05.10.2021, 14:00:52] --> Character leveled up to level 4
[namomuruso:   05.10.2021, 14:00:54] --> Character leveled up to level 5
[namomuruso:   05.10.2021, 14:00:55] --> Character leveled up to level 6
[namomuruso:   05.10.2021, 14:00:58] --> Character leveled up to level 7
[namomuruso:   05.10.2021, 14:01:25] --> Character leveled up to level 8
[namomuruso:   05.10.2021, 14:01:30] --> Character leveled up to level 9
[namomuruso:   05.10.2021, 14:01:33] --> Character leveled up to level 10
[namomuruso:   05.10.2021, 14:02:03] --> Character leveled up to level 11
[namomuruso:   05.10.2021, 14:02:26] --> Character leveled up to level 12
[namomuruso:   05.10.2021, 14:02:37] --> Character leveled up to level 13
[namomuruso:   05.10.2021, 14:04:21] --> Character leveled up to level 14
[namomuruso:   05.10.2021, 14:04:33] --> Character leveled up to level 15
[namomuruso:   05.10.2021, 14:06:25] --> Character leveled up to level 16
[namomuruso:   05.10.2021, 14:08:24] --> Character leveled up to level 17
[namomuruso:   05.10.2021, 14:10:31] --> Character leveled up to level 18
[namomuruso:   05.10.2021, 14:13:29] --> Character leveled up to level 19
[namomuruso:   05.10.2021, 14:15:42] --> Character leveled up to level 20
[namomuruso:   05.10.2021, 14:19:35] --> Character leveled up to level 21
[namomuruso:   05.10.2021, 14:27:24] --> Character leveled up to level 22
[namomuruso:   05.10.2021, 14:31:28] --> Character leveled up to level 23
[namomuruso:   05.10.2021, 14:31:28] --> Setting 'umut2' loaded because of active level settings
[namomuruso:   05.10.2021, 14:31:37] --> Character got kick
[namomuruso:   05.10.2021, 14:32:12] --> Character was kicked from the bot, reason: Character was walking
